id,title,year,ISBN,age_limit,price,count,description,author_id,img_path
11,Обломов,1859,978-5-17-118368-4,2,191,0,"Иван Гончаров — один из самых крупных писателей-реалистов золотого века русской литературы. Роман «Обломов» — часть знаменитой «трилогии о русской жизни», куда также вошли «Обыкновенная история» и «Обрыв».",7,/bookshop/img/products/oblomov.jpg
12,Отцы и дети,1862,978-5-17-118369-1,2,860,65,"""Отцы и дети"" — знаменитый роман Тургенева, ставший чуть ли не самым значительным произведением в истории о взаимоотношениях поколений. Споры главного героя Евгения Базарова, называающего себя нигилистом и отрицающего расхожие представления о жизни, искусстве, морали, природе человека, и его антагониста Павла Кирсанова, аристократа до мозга костей, состаляют главную проблематику романа.
Но сюжетная канва строится скорее на внутреннем конфликте самого Базарова. Только что отрицавший все и вся герой, не веривший в любовь, смеявшийся над своим приятелем, способным на нежные чувства, вдруг сам страстно и пылко влюбляется.
И все вдруг переворачивается вверх дном — с любовью Базаров совладать не в силах, она оказывается сильнее самых твердых убеждений.",8,/bookshop/img/products/otcy-i-deti.jpg
13,Доктор Живаго,1957,978-5-17-118370-7,3,928,64,"""Доктор Живаго"" — книга, которую называют одним из самых значительных произведений русской литературы ХХ века.
Через трагическую историю жизни главного героя, попавшего в чудовищный круговорот исторических событий — революцию, Гражданскую войну, — показана жизнь как таковая, ее глубинные потайные механизмы, ее загадочная суть, ее взлеты и падения.",9,/bookshop/img/products/doktor-zhivago.jpg
14,Белая гвардия,1925,978-5-17-118371-4,3,226,7,"Это история Гражданской войны 1918 года, история краха устоев и традиций, расказанная очевидцем и участником тех событий. Но в то же время это интереснейшая, во многом автобиографичная семейная сага. Почти все персонажи имеют прототипы — родственники, друзья, знакомые семьи Булгаковых. Турбины — потерянное поколение. Прежней Родины больше нет... Нравственные ориентиры пошатнулись, но устояли. И теперь, в безумии наступившего времени, герои любой ценой пытаются сохранить хоть малую толику того, во что верили, чем дорожили.",2,/bookshop/img/products/belaya-gvardiya.jpg
15,Тихий Дон,1940,978-5-17-118372-1,3,879,51,"Роман-эпопея Михаила Шолохова «Тихий Дон» – одно из наиболее значительных и масштабных произведений в русской литературы, которое принесло автору Нобелевскую премию и мировую известность; роман был неоднократно экранизирован и переведен на многие языки. Первые три тома вышли в свет в 1928–1932 гг., когда молодому автору не исполнилось и тридцати лет, четвертый том – в 1940-м. Действие «Тихого Дона» разворачивается на фоне переломных событий в истории России – Первой мировой и Гражданской войны, поменявших не только древний уклад жизни донского казачества, но и облик всей страны. В романе в полной мере нашла выражение одна из главных тем шолоховского творчества – война как братоубийственная бойня, противная человеческой природе. «Главный герой его произведений, – писал о Шолохове финский писатель Мартти Ларни, – сама правда… Жизнь он видит и воспринимает как реалистическую драму, в которой главная роль отведена человечности. В этом одно из объяснений его мировой славы».",10,/bookshop/img/products/tikhii-don.jpg
16,Судьба человека,1956,978-5-17-118373-8,3,368,30,"Трагедия не обошла стороной ни один дом во время Великой Отечественной войны. Как выстоять на войне, сохранив твердость, веру, силу духа, человечность и достоинство — об этом непридуманные истории Михаила Шолохова.",10,/bookshop/img/products/sudba-cheloveka.jpg
17,Один день Ивана Денисовича,1962,978-5-17-118374-5,3,263,72,"Александр Исаевич Солженицын (1918 - 2008) - русский писатель, лауреат Нобелевской премии (1970). Болью и великой верой в сохранение человеческой души проникнуто все его творчество. Первый же опубликованный рассказ писателя ""Один день Ивана Денисовича"" раскрыл правду о лагерях ГУЛАГА и стал известен во всем мире.",11,/bookshop/img/products/odin-den-ivana-denisovicha.jpg
18,Архипелаг ГУЛАГ,1973,978-5-17-118375-2,4,111,63,В настоящем издании представлен «Архипелаг ГУЛАГ» — всемирно известная документально-художественная эпопея о репрессиях в годы Советской власти.,11,/bookshop/img/products/arhipelag-gulag.jpg
19,Чевенгур,1928,978-5-17-118376-9,3,213,37,"Главный герой, Александр Дванов, взрослеет в бедной российской провинции на фоне революции и Гражданской войны.
Отправляясь искать коммунизм, юноша оказывается в городке под названием Чевенгур. Жители города уверены в ближайшем наступлении коммунистического Рая. Они отдыхают от долгих лет угнетения, питаются подножным кормом, осуществляют обобществление жён, жестоко расправляются с буржуазными элементами. Благодаря революции у жителей города появились сны, а самой главной профессией стала человеческая душа.
Но желанная новая жизнь не приносит счастья, разочарование приводит к волнам насилия, порядок жизни, установленный в Чевенгуре, постепенно распадается…",12,/bookshop/img/products/chevangur.jpg
20,Котлован,1930,978-5-17-118377-6,3,277,43,"Выходец из провинциальной рабочей семьи, Платонов всей душой принял Октябрьскую революцию, — и тем интереснее тот факт, что в его произведениях с небывалой силой передана личная мировоззренческая трагедия, необычайно ярко выраженная в «Котловане». Сама идея построения «Общепролетарского дома» превращает «Котлован» в шокирующую своей мощью антиутопию, где детали реальности обретают невероятные, карикатурно-преувеличенные размеры. Этот удивительный дом, задуманный как символ коммунистического «земного рая», в действительности становится кладбищем несбыточных фантазий.",12,/bookshop/img/products/kotlovan.jpg
21,Пикник на обочине,1972,978-5-17-118378-3,3,947,0,"Пожалуй, в истории современной мировой фантастики найдется не так много произведений, которые оставались бы популярными столь долгое время. Повесть послужила основой культового фильма Тарковского «Сталкер»; через три десятилетия появились не менее культовая компьютерная игра с тем же названием и целая серия повестей и романов, написанных с использованием мира «Пикника».",13,/bookshop/img/products/piknik-na-obochine.jpg
22,Трудно быть богом,1964,978-5-17-118379-0,3,965,26,"«Трудно быть богом».
Возможно, самое известное из произведений братьев Стругацких.
Один из самых прославленных повестей отечественной фантастики.
Увлекательная, полная драматизма история жизни, любви и приключений «дона Руматы» из королевства Арканар на далекой планете – рыцаря с двумя мечами, под именем которого скрывается резидент с планеты Земля ХХII века Антон.",13,/bookshop/img/products/trudno-byt-bogom.jpg
23,Понедельник начинается в субботу,1965,978-5-17-118380-6,2,734,83,"«Понедельник начинается в субботу. Сказка для научных работников младшего возраста» – под таким заголовком в 1965 году вышла книга, которой зачитывались и продолжают зачитываться все новые и новые поколения. Герои ее, сотрудники НИИЧАВО, – Научно-исследовательского института Чародейства и Волшебства, – маги и магистры, молодые энтузиасты, горящие желанием познать мир и преобразовать его наилучшим образом. На этом пути их ждет множество удивительных приключений и поразительных открытий. Машина времени и изба на курьих ножках, выращивание искусственного человека и усмирение выпущенного из бутылки джинна – читатель не заскучает!",13,/bookshop/img/products/ponedelnik-nachinaetsya-v-subbotu.jpg
24,Мы,1924,978-5-17-118381-3,3,223,81,"Знаковый роман, с которого официально отсчитывают само существование жанра ""антиутопия"" Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об ""обществе равных"", в котором человеческая личность сведена к ""нумеру"". В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей...
Но можно ли вытравить из человека жажду свободы, пока он остается человеком?",14,/bookshop/img/products/my.jpg
25,Лолита,1955,978-5-17-118382-0,4,316,1,"История страсти тридцатисемилетнего Гумберта Гумберта к своей двенадцатилетней падчерице Долорес – одно из первых литературных произведений, посвящённых масштабному исследованию темы педофилии. Но это лишь первый план произведения, а количество планов в ""Лолите"" невероятно велико. Здесь и пародия на популярные литературные жанры, и размышление об американской и европейской культурах, и безупречный стилистический эксперимент, и грусть об утраченной невинности. Не одной конкретной девочки, а всей эпохи, во время которой разворачивается действие романа.",15,/bookshop/img/products/lolita.jpg
26,Дар,1938,978-5-17-118383-7,3,252,34,"В центре романа – жизнь молодого русского эмигранта Федора Годунова-Чердынцева в Берлине, его творческий пути и становление как писателя. В глаза тут же бросается совпадение с берлинским периодом самого Набокова, с началом его писательской карьеры под псевдонимом Владимир Сирин. И если в предисловии автор предупреждает, что не стоит сравнивать его с главным героем, то редкий читатель устоит перед игрой “найди десять отличий”.",15,/bookshop/img/products/dar.jpg
27,Мёртвые души,1842,978-5-17-118384-4,2,175,99,"Бессмертная классика русской литературы, вошедшая в обязательную школьную программу.
Мечта разбогатеть обосновалась в арсенале человеческих желаний едва ли не раньше, чем появились сами деньги. Бывший чиновник Чичиков не чужд этой страсти, поэтому отправляется по городам и весям с нетривиальной идеей приобрести у помещиков умерших крестьян, которые по ревизским спискам еще значились как живые. За них можно получить хороший денежный кредит и наконец обрести высокий социальный статус. Чичиков, конечно, мошенник, но на фоне тех личностей, с которыми сводит его кривая мечты, кинематографично и зубодробительно смешно выписанных Гоголем, он вызывает несомненные симпатии.",4,/bookshop/img/products/mertyvye-dushi.jpg
28,Ревизор,1836,978-5-17-118385-1,2,582,69,"«Ревизор» — одна из лучших русских сатирических комедий. Николай Гоголь «решился собрать в одну кучу все дурное в России и за одним разом посмеяться над всем», объединил реалистическое видение и гротеск, заставив читателей и зрителей хохотать над легко узнаваемыми характерами и ситуациями. Комедия по-прежнему актуальна и любима многими, ведь жадность, глупость, нерадивость и другие пороки человеческой природы остались неизменны.",4,/bookshop/img/products/revizor.jpg
29,Капитанская дочка,1836,978-5-17-118386-8,2,152,30,"Работая над «Дубровским», Александр Пушкин задумал «Капитанскую дочку», а писал, когда работал над «Историей Пугачева». И Николай Гоголь назвал «Капитанскую дочку» «решительно лучшим русским произведеньем в повествовательном роде», в котором «выступили истинно русские характеры: простой комендант крепости, капитанша, поручик; сама крепость с единственной пушкой, бестолковщина времени и простое величие простых людей».",5,/bookshop/img/products/kapitanckaya-dochka.jpg
30,Повести Белкина,1831,978-5-17-118387-5,2,856,60,"Обращение Пушкина к прозе было обдуманным шагом, которому предшествовали размышления о природе словесного искусства. И вполне возможно, что интерес первого русского поэта к прозе основывался на ощущении небывалой серьезности задач, стоящих перед русской литературой.",5,/bookshop/img/products/povesti-belkina.jpg
31,Гранатовый браслет,1911,978-5-17-118388-2,2,260,36,"Один из последних русских классиков, запечатлевший Россию конца XIX – начала XX в., наследник традиций Толстого и Чехова, Александр Иванович Куприн вошел в историю литературы и как выдающийся писатель русского Зарубежья. В настоящее издание включены самые известные произведения Куприна: «Олеся», «Поединок» и «Гранатовый браслет». В свое время Куприн сказал о Гамсуне, «истинном поэте любви и природы», слова, которыми в полной мере можно описать и творчество самого Куприна: «…это восторженная молитва красоте мира, бесконечная благодарность сердца за радость существования, но также и гимн перед страшным и прекрасным лицом бога любви».",16,/bookshop/img/products/granatovyi-braslet.jpg
32,Яма,1909,978-5-17-118389-9,4,549,80,"""Яма"" — самое трагическое произведение Куприна, которое в свое время произвело среди читателей и критиков эффект разорвавшейся бомбы, и даже сейчас потрясает своей силой и беспощадным реализмом. Печальная история обитательниц борделя средней руки рассказана с почти фотографической точностью. Характеры ""ночных бабочек"", их клиентов и единственного друга — журналиста, образ которого у Куприна имеет автобиографические черты, восхищают психологической глубиной и яркостью. Роман захватывает не пикантностью темы, а честным, неравнодушным и человечным отношением автора к судьбе девушек, которых обстоятельства завели в ""Яму"".",16,/bookshop/img/products/yama.jpg
33,Олеся,1898,978-5-17-118390-5,3,970,99,"В эту книгу включены три его повести, в которых роковые обстоятельства встают на пути у влюбленных героев.
Образ загадочной колдуньи Олеси, выросшей в диких и прекрасных лесах Полесья, стал синонимом свободы, искренности и чувственной красоты для многих поколений поклонников творчества Куприна. В «Поединке» писатель описывает пошлость, безнравственность нравов провинциальной офицерской среды, убивающей все искреннее и живое вокруг себя. А главной героине повести «Впотьмах» предстоит сделать тяжелый выбор между мимолетной увлеченностью и трезвым расчетом.",16,/bookshop/img/products/olesya.jpg
34,Тёмные аллеи,1943,978-5-17-118391-2,3,760,42,"Наверное, никто ни до, ни после Бунина не создал в литературе такой яркой, живой и разнообразной «энциклопедии любви». Для Бунина любовь — как солнечный удар. Испытать это чувство хотя бы раз в жизни дано не каждому, это и великое счастье, и дорогое сердцу воспоминание, а порой и страшная трагедия, оборачивающаяся смертью. Каждая из новелл, составляющих этот сборник, — отдельная история любви.
Самые известные рассказы «Темных аллей» — «Генрих», «Чистый понедельник», «Натали», «В Париже», но, без сомнения, вы, читая эту вдохновенную, увлекательную книгу, сами выберете ту историю, которая наиболее созвучная вашему сердцу.",17,/bookshop/img/products/temnye-allei.jpg
35,Жизнь Арсеньева,1930,978-5-17-118392-9,3,185,53,"В 1933 году Ивану Бунину — первому из русских литераторов — была присуждена Нобелевская премия. По мнению писателя, это было связано прежде всего с романом «Жизнь Арсеньева», который он написал во Франции.
Главный герой, Алексей Арсеньев, осмысливает свои детские и юношеские годы через призму воспоминаний. Детство в родительском имении, учеба в гимназии, увлечение поэзией, первая любовь… Он осознаёт, как быстротечно время и как важно ценить каждое мгновение.",17,/bookshop/img/products/zhizn-arseneva.jpg
36,Господин из Сан-Франциско,1915,978-5-17-118393-6,3,243,87,"Рассказ «Господин из Сан-Франциско» представляет собой притчу, повествующую о ничтожности богатства и власти перед лицом смерти. В центре повествования американский миллионер — до конца рассказа мы так и не узнаем его имени. Он решил устроить себе отпуск и едет на пароходе отдыхать в Италию вместе с семьёй. Сбудутся ли его мечты? Или судьба решит распорядиться по-своему?
В сборник также вошли повести и рассказы о психологии русского человека, уходящей жизни дворянских усадеб, нравах русской деревни и, конечно, любви. Любовь в произведениях Бунина всегда завершается утратой. Возможны лишь мгновения любви — и неизбежное разрушительное падение, когда разбиваются идеалистические юношеские представления при столкновении с реальной жизнью.",17,/bookshop/img/products/gospodin-iz-san-francisko.jpg
37,Крейцерова соната,1889,978-5-17-118394-3,3,781,35,"«Крейцерова соната» – поначалу запрещенная цензурой за свой «скандальный характер», эта повесть Толстого - о разрушительной силе ревности, которая может повлечь за собой даже убийство.",3,/bookshop/img/products/kreicerova-sonata.jpg
38,Воскресение,1899,978-5-17-118395-0,3,604,27,"Князь Нехлюдов, умный и пресыщенный эстет и сибарит, с ужасом узнает на суде в проститутке, обвиняемой в отравлении клиента, Катюшу Маслову – чистую, нежную девушку, которую он, со скуки, соблазнил когда-то, – и с легкостью бросил, толкнув на дно жизни. Терзаемый муками совести, он готов на все, – даже жениться на осужденной каторжанке и последовать за ней в Сибирь. Но удастся ли ему вымолить прощение? И примет ли Катюша жертву от мужчины, погубившего ее когда-то?",3,/bookshop/img/products/voskresenie.jpg
39,Детство,1852,978-5-17-118396-7,2,806,41,В данном произведении представлена автобиография детства писателя Льва Николаевича Толстого.,3,/bookshop/img/products/detstvo.jpg
40,Отрочество,1854,978-5-17-118397-4,2,590,33,В данном произведении представлена автобиография отрочества писателя Льва Николаевича Толстого.,3,/bookshop/img/products/otrochestvo.jpg
41,Юность,1856,978-5-17-118398-1,2,370,89,В данном произведении представлена автобиография юности писателя Льва Николаевича Толстого.,3,/bookshop/img/products/yunost.jpg
42,Портрет Дориана Грея,1890,978-5-17-118399-8,3,834,17,"Главный герой романа, красавец Дориан, — фигура двойственная, неоднозначная. Тонкий эстет и романтик становится безжалостным преступником. Попытка сохранить свою необычайную красоту и молодость оборачивается провалом. Вместо героя стареет его портрет — но это не может продолжаться вечно, и смерть Дориана расставляет все по своим местам.",18,/bookshop/img/products/portret-doriana-greya.jpg
43,Улисс,1922,978-5-17-118400-1,4,389,5,"По замыслу автора, «Улисс» — рассказ об одном дне, прожитом одним обывателем из одного некрупного европейского городка, — вместил в себя всю литературу со всеми ее стилями и техниками письма и выразил все, что искусство способно сказать о человеке.",19,/bookshop/img/products/ulyss.jpg
44,Грозовой перевал,1847,978-5-17-118401-8,3,859,11,"«Грозовой перевал» Эмили Бронте — не просто золотая классика мировой литературы, но роман, перевернувший в свое время представления о романтической прозе. Проходят годы и десятилетия, но история бурной, страстной, трагической любви Хитклифа и Кэти по-прежнему не поддается ходу времени. «Грозовым перевалом» зачитывалось уже много поколений женщин — продолжают зачитываться и сейчас. Эта книга не стареет, как не стареет истинная любовь.",20,/bookshop/img/products/grozovoi-pereval.jpg
45,Джейн Эйр,1847,978-5-17-118402-5,2,350,100,"Джейн Эйр давным-давно переросла свою героиню и стала почти что именем нарицательным. Многие девушки, наверное, мечтали бы повторить ее судьбу. Да, детство у нее было настоящим кошмаром. Да и молодость выдалась тяжелой. Пусть Джейн не так уж хороша собой, и жизнь ее вовсе не балует, но в конечном итоге она обретет свое счастье. Полный загадок, порой трагических поворотов сюжета, этот роман был и остается символом веры, надежды и любви.",21,/bookshop/img/products/dzhiein-eir.jpg
46,Гордость и предубеждение,1813,978-5-17-118403-2,2,581,95,"В данной книге представлен один из самых известных англоязычных романов о любви всех времен в блестящем переводе признанного классика переводческого искусства — Иммануэля Самойловича Маршака. Дочь мелкопоместного сквайра Беннета Элизабет невзлюбила великосветского столичного сноба мистера Дарси. В свою очередь Дарси платит язвительной барышне взаимной неприязнью и едва удерживается в рамках вежливости... так, по крайней мере, оно выглядит со стороны. Однако в действительности чувства обоих далеко не столь однозначны.",22,/bookshop/img/products/gordost-i-predubezhdenie.jpg
